"lb" "mle" "ub" "ce" "Z" "cZ"
"Zfp763" -9.58815526848979 -6.55562243938605 -2.40818783487651 -2.40818783487651 -3.06147028039448 -1.7045890923633
"Rps14" -5.75289316109389 -3.16632104215245 -1.11490177540579 -1.11490177540579 -3.05841612162671 -1.70231020169315
"Nme4" -8.51784956410024 -5.70829709007764 -1.87303498268173 -1.87303498268173 -3.05456867983633 -1.69855808389771
"Myef2" -5.35152852194781 -3.07712890011998 -1.11490177540579 -1.11490177540579 -3.04636749093249 -1.68790454823146
"Acadm" -8.51784956410024 -4.59339531467185 -1.65005462760057 -1.65005462760057 -3.02277732005867 -1.6558758756492
"Csde1" -5.57450887702895 -3.34470532621737 -1.15949784642202 -1.15949784642202 -3.02182870390226 -1.6558758756492
"Zfp266" -7.44754385971066 -4.32581888857447 -1.60545855658434 -1.60545855658434 -3.01846264133512 -1.65450137593834
"Gm5148" -8.02729278292168 -4.32581888857447 -1.51626641455187 -1.51626641455187 -3.01662796902135 -1.65450137593834
"Eif4e" -7.09077529158082 -3.70147389434721 -1.29328605947072 -1.29328605947072 -3.01150504334794 -1.64862371634029
"Sf3b2" -6.15425780023997 -3.30010925520114 -1.11490177540579 -1.11490177540579 -3.00347746931386 -1.64050635762156
"Zfp106" -8.56244563511645 -4.77177959873679 -1.65005462760057 -1.65005462760057 -3.0028885060366 -1.64050635762156
"Hmgn1" -5.75289316109389 -3.25551318418491 -1.11490177540579 -1.11490177540579 -3.00214372540191 -1.64050635762156
"Chd7" -7.13537136259706 -3.74606996536345 -1.29328605947072 -1.29328605947072 -2.99372978279041 -1.62932544337619
"Rps25" -5.75289316109389 -3.21091711316867 -1.11490177540579 -1.11490177540579 -2.98647324716928 -1.61996832385319
"Ctnnb1" -6.55562243938605 -3.74606996536345 -1.33788213048695 -1.33788213048695 -2.9784056948718 -1.61153681892224
"Rpl14" -6.15425780023997 -3.47849353926606 -1.20409391743825 -1.20409391743825 -2.9704765959654 -1.60136874475951
"Tank" -8.42865742206776 -4.68258745670431 -1.73924676963303 -1.73924676963303 -2.96841435551582 -1.60136874475951
"Pttg1" -8.69623384816518 -4.5042031726394 -1.56086248556811 -1.56086248556811 -2.96789560872299 -1.60136874475951
"Psma7" -6.15425780023997 -3.34470532621737 -1.15949784642202 -1.15949784642202 -2.96389945388824 -1.59716870209092
"Dtl" -8.56244563511645 -5.70829709007764 -1.8284389116655 -1.8284389116655 -2.96241143341417 -1.59699057156177
"Rbbp4" -5.88668137414258 -3.25551318418491 -1.11490177540579 -1.11490177540579 -2.9561250643526 -1.59128901972991
"Tuba1a" -5.52991280601271 -3.07712890011998 -1.02570963337333 -1.02570963337333 -2.95128348928599 -1.58821214765449
"Slbp" -8.33946528003531 -5.52991280601271 -1.6946506986168 -1.6946506986168 -2.95014034720421 -1.58821214765449
"Wdfy1" -8.74082991918139 -5.88668137414258 -2.00682319573042 -2.00682319573042 -2.93926140628392 -1.57503611452944
"Serf1" -8.16108099597037 -4.28122281755823 -1.42707427251941 -1.42707427251941 -2.93314553913639 -1.56733535481275
