"lb" "mle" "ub" "ce" "Z" "cZ"
"Fam102b" -5.05141439268414 -2.66101293900326 -1.35305742661183 -1.35305742661183 -3.99718364683217 -2.94779908615941
"Spry4" -5.81814693443087 -2.79631868166444 -1.35305742661183 -1.35305742661183 -3.98158357805384 -2.93071662562466
"Laptm4b" -5.45733162066772 -2.66101293900326 -1.30795551239144 -1.30795551239144 -3.98130016801985 -2.93071662562466
"Pde10a" -6.49467564773679 -3.60815313763153 -1.71387274037498 -1.71387274037498 -3.97986227304294 -2.93065938430051
"Cystm1" -6.22406416241441 -3.42774548074995 -1.6236689119342 -1.6236689119342 -3.97835714515579 -2.93050429168843
"Tgfb2" -6.31426799085521 -3.51794930919076 -1.66877082615459 -1.66877082615459 -3.96971190931538 -2.92395354235582
"Rgs7" -6.22406416241441 -3.47284739497037 -1.6236689119342 -1.6236689119342 -3.96570654272769 -2.92228215027934
"Sgpl1" -4.91610865002299 -2.66101293900326 -1.30795551239144 -1.30795551239144 -3.96523708379679 -2.92228215027934
"Elovl6" -4.0140703656151 -2.30019762524011 -1.12754785550986 -1.12754785550986 -3.95438187574816 -2.91185579888545
"Gyg" -4.60039525048022 -2.48060528212169 -1.21775168395065 -1.21775168395065 -3.95433224488598 -2.91185579888545
"Itpr2" -6.26916607663479 -3.51794930919076 -1.6236689119342 -1.6236689119342 -3.95323846906144 -2.91185579888545
"Dtx4" -5.5024335348881 -2.75121676744405 -1.35305742661183 -1.35305742661183 -3.94605042333605 -2.90419767294898
"Lrrfip1" -3.74345888029272 -2.39040145368089 -1.17264976973025 -1.17264976973025 -3.93983263473089 -2.89779694884583
"Mfap3l" -5.72794310599006 -2.75121676744405 -1.30795551239144 -1.30795551239144 -3.90559231919778 -2.86134276740562
"Ppp1r16b" -6.04365650553283 -3.02182825276642 -1.44326125505262 -1.44326125505262 -3.90545990521854 -2.86134276740562
"Plekha2" -6.49467564773679 -3.74345888029272 -1.80407656881577 -1.80407656881577 -3.90204442464098 -2.85855642396479
"Cntn1" -6.3593699050756 -3.60815313763153 -1.71387274037498 -1.71387274037498 -3.89274678959878 -2.8480468959485
"B2m" -4.7808029073618 -2.43550336790129 -1.12754785550986 -1.12754785550986 -3.89008287733425 -2.84623111000091
"Wnt5a" -6.3593699050756 -3.56305122341115 -1.66877082615459 -1.66877082615459 -3.86552921547228 -2.81898309236428
"Ttyh1" -6.26916607663479 -3.47284739497037 -1.5785669977138 -1.5785669977138 -3.84661250999241 -2.7970933709288
"Cttnbp2nl" -4.60039525048022 -2.52570719634208 -1.21775168395065 -1.21775168395065 -3.84638193508259 -2.7970933709288
"Nsdhl" -4.14937610827626 -2.3452995394605 -1.08244594128946 -1.08244594128946 -3.84030088190602 -2.79073093899578
"Eps8" -6.17896224819402 -3.42774548074995 -1.5334650834934 -1.5334650834934 -3.83602222077049 -2.78673680843531
"Arxes2" -5.63773927754929 -2.75121676744405 -1.30795551239144 -1.30795551239144 -3.82572726316098 -2.77479508991184
"Txn1" -3.02182825276642 -1.98448422569735 -0.992242112848671 -0.992242112848671 -3.81879745884418 -2.76891597486008
"Prss23" -6.22406416241441 -3.42774548074995 -1.5785669977138 -1.5785669977138 -3.80691784557176 -2.75646841358767
"Vldlr" -6.17896224819402 -3.42774548074995 -1.5334650834934 -1.5334650834934 -3.79940638283517 -2.74815270076889
"Kcnd3" -6.22406416241441 -3.47284739497037 -1.5785669977138 -1.5785669977138 -3.79163935449578 -2.73948735901884
"Ptprf" -5.72794310599006 -2.84142059588484 -1.30795551239144 -1.30795551239144 -3.78989873556379 -2.7387908247254
"Lmna" -5.72794310599006 -2.79631868166444 -1.35305742661183 -1.35305742661183 -3.7876553562878 -2.73742190538946
"Prune2" -6.17896224819402 -3.42774548074995 -1.5334650834934 -1.5334650834934 -3.77781727024029 -2.72598972897298
"Mmp15" -6.17896224819402 -3.24733782386839 -1.44326125505262 -1.44326125505262 -3.77389922323355 -2.7223895295324
"Slc30a4" -6.17896224819402 -3.38264356652957 -1.48836316927301 -1.48836316927301 -3.77169282488538 -2.72153794470914
"Plcd4" -6.17896224819402 -3.42774548074995 -1.5334650834934 -1.5334650834934 -3.77086953358416 -2.72153794470914
"Gpt2" -4.60039525048022 -2.3452995394605 -1.08244594128946 -1.08244594128946 -3.74227874312198 -2.68831546230237
"Bcan" -5.36712779222691 -2.61591102478287 -1.17264976973025 -1.17264976973025 -3.72010141594528 -2.6634940233588
"Sfxn3" -6.17896224819402 -3.38264356652957 -1.48836316927301 -1.48836316927301 -3.71588638268975 -2.65943323631534
"Peg12" -3.9238665371743 -2.11978996835853 -0.992242112848671 -0.992242112848671 -3.71466815378323 -2.65935902091803
"Idh3a" -3.38264356652957 -2.07468805413814 -0.992242112848671 -0.992242112848671 -3.71195102304266 -2.65728173540849
"Ctnnd2" -3.42774548074995 -2.02958613991774 -0.902038284407886 -0.902038284407886 -3.70275262071592 -2.6465598699534
"Pcyt2" -6.17896224819402 -3.24733782386839 -1.44326125505262 -1.44326125505262 -3.69790852008937 -2.64163363267433
"Arxes1" -6.04365650553283 -3.29243973808878 -1.44326125505262 -1.44326125505262 -3.69292297187876 -2.63651166895085
"Slc5a3" -5.86324884865125 -2.88652251010523 -1.26285359817104 -1.26285359817104 -3.68122494169129 -2.6254564222797
