"lb" "mle" "ub" "ce" "Z" "cZ"
"Slc25a18" -5.44340968270181 -2.52255570661791 -0.929362628753964 -0.929362628753964 -3.19533575353287 -2.0447963454148
"Fads1" -3.18638615572789 -1.81446989423394 -0.708085812383973 -0.708085812383973 -3.1897986687608 -2.04119716824347
"Tmem176b" -4.24851487430386 -1.99149134732993 -0.752341175657973 -0.752341175657973 -3.18811752499312 -2.04119716824347
"Tmbim1" -5.75319722561981 -3.00936470263189 -1.10638408184996 -1.10638408184996 -3.17711940981856 -2.02724796126566
"Kif1b" -2.9651093393579 -1.81446989423394 -0.708085812383973 -0.708085812383973 -3.17392494963592 -2.02407948829795
"Mkl2" -3.67319515174186 -1.99149134732993 -0.752341175657973 -0.752341175657973 -3.17010625130222 -2.02142773614328
"Samd4" -5.66468649907181 -2.9651093393579 -1.06212871857596 -1.06212871857596 -3.16299717601074 -2.01261008340201
"Wnt7b" -5.79745258889381 -3.05362006590589 -1.10638408184996 -1.10638408184996 -3.1560223656191 -2.00819748365204
"Glo1" -3.40766297209787 -1.77021453095994 -0.663830449109977 -0.663830449109977 -3.14344920245293 -1.99311962505224
"Ppap2b" -3.05362006590589 -1.77021453095994 -0.663830449109977 -0.663830449109977 -3.13630731096964 -1.98673712828939
"E2f6" -5.70894186234581 -2.9651093393579 -1.06212871857596 -1.06212871857596 -3.13371958414645 -1.98440537535115
"Prdx1" -2.8323432495359 -1.77021453095994 -0.708085812383973 -0.708085812383973 -3.13277490469126 -1.98440537535115
"Mgrn1" -3.93872733138586 -2.03574671060393 -0.752341175657973 -0.752341175657973 -3.10772845701984 -1.95467097687641
"Ftl1" -2.7880878862619 -1.77021453095994 -0.708085812383973 -0.708085812383973 -3.10679121542764 -1.95467097687641
"Purb" -2.8765986128099 -1.68170380441194 -0.619575085835977 -0.619575085835977 -3.09428593049606 -1.93828066577342
"Gsta4" -5.62043113579781 -2.8765986128099 -0.973617992027967 -0.973617992027967 -3.0906434059557 -1.93572490897841
"Asns" -3.49617369864587 -1.90298062078193 -0.708085812383973 -0.708085812383973 -3.08495156146757 -1.9298761824466
"Fyn" -3.40766297209787 -1.85872525750793 -0.708085812383973 -0.708085812383973 -3.08312829787099 -1.92888140553956
"Suclg2" -5.17787750305782 -2.43404498006991 -0.840851902205968 -0.840851902205968 -3.07920209041916 -1.92452489393087
"Ppp1r12a" -2.92085397608389 -1.72595916768594 -0.619575085835977 -0.619575085835977 -3.07010757455262 -1.91533540933598
"Idh3a" -3.05362006590589 -1.77021453095994 -0.663830449109977 -0.663830449109977 -3.06734640866964 -1.91265806551001
"Cs" -2.92085397608389 -1.68170380441194 -0.619575085835977 -0.619575085835977 -3.06634973593993 -1.91254809251257
"Fzd1" -5.62043113579781 -2.92085397608389 -1.01787335530196 -1.01787335530196 -3.06455235724283 -1.91126805454646
"Fam196a" -5.26638822960581 -2.34553425352192 -0.840851902205968 -0.840851902205968 -3.05592812156457 -1.90534525138951
"Thrb" -5.75319722561981 -3.00936470263189 -1.01787335530196 -1.01787335530196 -3.04998934540174 -1.9016570471965
"Ntrk2" -3.05362006590589 -1.81446989423394 -0.619575085835977 -0.619575085835977 -3.04979090742392 -1.9016570471965
"Serpinh1" -4.11574878448186 -1.94723598405593 -0.663830449109977 -0.663830449109977 -3.0485859100142 -1.90120624254898
"Npas3" -3.05362006590589 -1.72595916768594 -0.619575085835977 -0.619575085835977 -3.03556622419229 -1.88871647315567
"Sqstm1" -3.85021660483786 -2.03574671060393 -0.708085812383973 -0.708085812383973 -3.0280702820346 -1.87907072416469
"Bhlhe40" -5.70894186234581 -2.9651093393579 -1.01787335530196 -1.01787335530196 -3.02265257163173 -1.87501691259068
"Mlc1" -3.98298269465986 -1.94723598405593 -0.663830449109977 -0.663830449109977 -3.02044863542845 -1.87435419230426
"Adam12" -4.02723805793386 -2.16851280042593 -0.796596538931972 -0.796596538931972 -3.00981241769734 -1.86263160617253
"Sgcb" -5.08936677650982 -2.25702352697392 -0.752341175657973 -0.752341175657973 -3.00728893075835 -1.86020970556992
"Cyp51" -2.9651093393579 -1.63744844113794 -0.575319722561981 -0.575319722561981 -3.0011724315487 -1.85505143590346
"Hspd1" -2.7880878862619 -1.59319307786394 -0.575319722561981 -0.575319722561981 -2.99735820971776 -1.85072844232097
"Pdlim4" -5.62043113579781 -2.92085397608389 -0.973617992027967 -0.973617992027967 -2.99063396259123 -1.84339270056669
"Timp4" -5.70894186234581 -2.9651093393579 -0.973617992027967 -0.973617992027967 -2.98720693937888 -1.83962356788804
"Nav2" -3.80596124156386 -1.85872525750793 -0.619575085835977 -0.619575085835977 -2.98250528375916 -1.83522955765382
"Grina" -4.20425951102986 -2.12425743715192 -0.708085812383973 -0.708085812383973 -2.97519244155201 -1.82574596237365
"Hs2st1" -4.86808996013982 -2.30127889024792 -0.752341175657973 -0.752341175657973 -2.96963522718768 -1.82137776548632
"Uqcrc1" -2.7438325229879 -1.59319307786394 -0.531064359287978 -0.531064359287978 -2.96485567931188 -1.82045618197235
"Trp53inp1" -3.76170587828986 -2.03574671060393 -0.708085812383973 -0.708085812383973 -2.96123928580091 -1.81796976181765
"Dhcr7" -3.40766297209787 -1.68170380441194 -0.575319722561981 -0.575319722561981 -2.96086811932296 -1.81796976181765
"Rnf14" -3.62893978846786 -1.85872525750793 -0.619575085835977 -0.619575085835977 -2.94500645788808 -1.802225736624
"Slc7a1" -3.49617369864587 -1.81446989423394 -0.575319722561981 -0.575319722561981 -2.94054717720874 -1.79807260809142
"Htra1" -5.62043113579781 -2.8765986128099 -0.929362628753964 -0.929362628753964 -2.93922852341807 -1.7977596959337
"1810055G02Rik" -5.62043113579781 -2.8765986128099 -0.929362628753964 -0.929362628753964 -2.93457347049542 -1.79482151721256
"Degs1" -4.11574878448186 -1.85872525750793 -0.619575085835977 -0.619575085835977 -2.93135002375544 -1.79169636926526
"1190002N15Rik" -5.57617577252381 -2.8765986128099 -0.929362628753964 -0.929362628753964 -2.91588939147592 -1.77718436273423
"Cnih" -2.7880878862619 -1.59319307786394 -0.531064359287978 -0.531064359287978 -2.9123263453558 -1.77310623859055
