"CD31_young" "CD31_young.1" "CD31_young.2" "CD31_young.3" "E_young" "E_young.1" "E_young.2" "E_young.3" "G_young" "G_young.1" "G_young.2" "G_young.3" "PG_young" "PG_young.1" "PGE_young" "PGE_young.1" "PGE_young.2"
"1700011A15Rik" 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700011B04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700011E24Rik" 0 0 0 0 0 0 58 0 0 0 0 0 17 0 0 0 0
"1700011H14Rik" 0 52 0 0 0 0 0 0 0 0 0 108 0 0 0 0 6
"1700011I03Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700011J10Rik" 61 0 69 0 24 170 151 325 207 117 133 70 276 83 227 130 146
"1700011L22Rik" 0 0 0 0 0 54 0 0 0 0 0 1 0 0 0 0 0
"1700011M02Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700012A03Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700012B07Rik" 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0
"1700012B09Rik" 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"1700012B15Rik" 241 1 352 70 191 314 608 342 704 463 336 117 228 325 637 105 435
"1700012D01Rik" 0 0 447 0 0 110 5 15 85 78 0 52 84 29 0 196 88
"1700012D14Rik" 108 0 0 0 0 27 116 0 0 143 71 46 396 31 171 93 136
"1700012I11Rik" 7 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0
"1700012L04Rik" 0 0 0 65 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700012P22Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700013D24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700013F07Rik" 1 0 0 0 0 3 25 42 0 0 0 0 1 0 0 0 0
"1700013G23Rik" 0 0 0 0 4 79 185 115 217 0 0 159 0 0 295 202 206
"1700013G24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700013H16Rik" 0 80 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"1700015E13Rik" 0 0 0 0 0 0 0 0 24 159 0 0 0 0 0 0 0
"1700015F17Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
"1700015G11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700016C15Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"1700016D06Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700016G22Rik" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"1700016H13Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700016K19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700016L04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700016L21Rik" 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700016P04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700017B05Rik" 0 0 0 30 34 127 85 19 0 12 790 4 52 59 50 135 44
"1700017D01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700017G19Rik" 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700017J07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700017N19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700018A04Rik" 104 418 161 79 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700018B08Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
"1700018B24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700018C11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700018F24Rik" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"1700018G05Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700018L02Rik" 0 0 0 0 0 0 0 4 34 105 0 0 11 0 0 0 0
"1700019A02Rik" 0 0 0 0 0 0 0 0 0 44 0 0 0 0 1 0 17
"1700019B03Rik" 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700019B21Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700019D03Rik" 0 0 0 0 0 37 0 0 0 242 0 350 467 0 21 0 19
"1700019E08Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700019G17Rik" 0 1318 2 45 23 5 5 0 1463 1303 561 1135 1044 639 8 0 25
"1700019G24Rik" 0 0 0 0 0 0 0 0 284 119 0 0 0 0 0 84 0
"1700019L03Rik" 0 0 0 21 0 119 0 52 0 0 0 0 0 0 61 146 18
"1700019M22Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700019N19Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700019O17Rik" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"1700020A23Rik" 0 0 0 0 25 0 0 0 1 0 0 0 0 0 0 0 0
"1700020D05Rik" 0 1 0 0 0 0 0 0 108 12 0 0 9 0 1 0 0
"1700020G17Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700020I14Rik" 2174 1897 2212 1809 533 1150 1251 1677 47 22 19 450 367 106 723 1497 1022
"1700020L24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700020M21Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700020N01Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700020N15Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700020N18Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700021F05Rik" 1458 1560 178 70 1198 2758 2842 3079 1109 1203 2097 1217 172 1705 4225 4367 3728
"1700021F07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700021K19Rik" 12 96 143 400 105 311 285 540 879 51 46 358 519 53 283 445 269
"1700021N21Rik" 0 0 5 2 78 116 0 0 206 38 0 0 102 0 0 0 24
"1700022A21Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700022A22Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700022E09Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700022H16Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700022I11Rik" 10 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0
"1700022P22Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700023A16Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700023C21Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700023E05Rik" 0 0 0 0 0 0 0 0 0 5 0 0 3 0 0 0 0
"1700023F02Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700023F06Rik" 0 0 0 0 4 0 0 0 0 3 63 0 0 0 0 0 0
"1700023L04Rik" 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 54
"1700024B18Rik" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"1700024F13Rik" 0 0 0 3 22 0 0 0 0 0 0 0 0 0 136 2 0
"1700024G13Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700024P03Rik" 0 0 0 0 0 0 8 0 0 0 0 0 0 0 2 0 16
"1700024P04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700024P16Rik" 0 0 0 0 0 42 0 0 122 0 0 0 0 0 0 0 0
"1700025B11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700025C18Rik" 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700025E21Rik" 0 0 0 0 285 10 0 0 0 0 0 0 0 0 0 0 79
"1700025F22Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700025F24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"1700025G04Rik" 67 0 0 0 127 227 259 453 139 78 279 190 186 8 434 77 176
"1700025K24Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700025M24Rik" 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700025N23Rik" 0 0 0 0 0 0 0 0 0 33 0 0 5 0 0 0 0
"1700026D08Rik" 0 0 0 0 0 0 0 0 0 127 0 0 3 0 0 0 0
"1700026D11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700026F02Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700026L06Rik" 0 0 0 0 0 130 0 58 0 2 0 0 309 0 129 0 95
"1700027A15Rik" 0 0 0 0 0 0 0 0 0 0 0 116 33 0 0 0 0
"1700027F09Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700027H10Rik" 0 0 0 0 5 0 11 43 70 202 0 265 120 0 0 0 0
"1700027I24Rik" 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700027J07Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700028B04Rik" 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
"1700028D13Rik" 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700028E10Rik" 0 1 0 8 0 1 49 0 0 0 0 0 98 20 66 41 28
"1700028I16Rik" 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0
"1700028J19Rik" 0 0 465 0 0 13 0 181 813 0 0 0 0 0 42 0 170
"1700028K03Rik" 0 0 0 0 0 1 0 0 84 438 0 29 40 0 10 0 21
"1700028M03Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"1700028P14Rik" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"1700028P15Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700029B22Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700029F12Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700029H14Rik" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700029I15Rik" 0 0 0 0 0 0 0 0 0 7 0 0 2 0 0 0 0
"1700029J03Rik" 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700029J07Rik" 7 1 38 0 127 226 352 134 715 1238 472 308 753 1128 176 14 552
"1700029M20Rik" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
"1700029N11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700029P11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700030A11Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700030C10Rik" 0 0 0 0 0 0 0 0 0 2 0 0 13 0 0 0 0
"1700030F04Rik" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1700030F18Rik" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
