"name" "input" "mapped" "4" "5"
"V40" "1-PGE-C13" "232442" "178376" "aNSC_B_13_1g" "aNSC-early"
"V41" "1-PGE-C14" "179124" "136193" "aNSC_B_14_1g" "aNSC-late"
"V42" "1-PGE-C16" "224050" "157871" "aNSC_B_16_1g" "aNSC-early"
"V43" "1-PGE-C17" "233125" "179643" "aNSC_B_17_1g" "aNSC-mid"
"V44" "1-PGE-C18" "293512" "227980" "aNSC_B_18_1g" "aNSC-early"
"V45" "1-PGE-C19" "159671" "106680" "aNSC_B_19_1g" "NPC-like"
"V46" "1-PGE-C20" "129113" "76324" "aNSC_B_20_1g" "aNSC-mid"
"V47" "1-PGE-C23" "286561" "210655" "aNSC_B_23_1g" "aNSC-late"
"V49" "1-PGE-C26" "141928" "101025" "aNSC_B_26_1g" "aNSC-late"
"V50" "1-PGE-C27" "172685" "127254" "aNSC_B_27_1g" "aNSC-late"
"V51" "1-PGE-C28" "251752" "189903" "aNSC_B_28_1g" "aNSC-early"
"V52" "1-PGE-C30" "217834" "145484" "aNSC_B_30_1g" "aNSC-mid"
"V53" "1-PGE-C31" "197218" "155618" "aNSC_B_31_1g" "aNSC-late"
"V55" "1-PGE-C33" "184425" "136335" "aNSC_B_33_1g" "aNSC-late"
"V56" "1-PGE-C34" "335154" "235242" "aNSC_B_34_1g" "aNSC-late"
"V57" "1-PGE-C35" "215993" "160004" "aNSC_B_35_1g" "aNSC-late"
"V58" "1-PGE-C36" "278886" "191437" "aNSC_B_36_1g" "aNSC-mid"
"V59" "1-PGE-C37" "169674" "123371" "aNSC_B_37_1g" "aNSC-early"
"V60" "1-PGE-C38" "140639" "91966" "aNSC_B_38_1g" "aNSC-late"
"V61" "1-PGE-C40" "206747" "148438" "aNSC_B_40_1g" "aNSC-late"
"V62" "1-PGE-C41" "231288" "154515" "aNSC_B_41_1g" "aNSC-late"
"V63" "1-PGE-C44" "93890" "67360" "aNSC_B_44_1g" "aNSC-mid"
"V64" "1-PGE-C47" "141801" "107226" "aNSC_B_47_1g" "aNSC-late"
"V65" "1-PGE-C56" "240473" "162324" "aNSC_B_56_1g" "qNSC-like"
"V66" "1-PGE-C58" "200687" "151787" "aNSC_B_58_1g" "aNSC-mid"
"V68" "1-PGE-C60" "233158" "162185" "aNSC_B_60_1g" "qNSC-like"
"V69" "1-PGE-C62" "215586" "142591" "aNSC_B_62_1g" "aNSC-early"
"V71" "1-PGE-C69" "200859" "155432" "aNSC_B_69_1g" "aNSC-mid"
"V72" "1-PGE-C70" "216722" "150272" "aNSC_B_70_1g" "NPC-like"
"V74" "1-PGE-C72" "241889" "146928" "aNSC_B_72_1g" "aNSC-early"
"V75" "1-PGE-C73" "179562" "138016" "aNSC_B_73_1g" "NPC-like"
"V76" "1-PGE-C76" "266390" "182354" "aNSC_B_76_1g" "aNSC-mid"
"V78" "1-PGE-C81" "279057" "221414" "aNSC_B_81_1g" "aNSC-early"
"V79" "1-PGE-C82" "285819" "208823" "aNSC_B_82_1g" "NPC-like"
"V81" "1-PGE-C89" "242772" "164460" "aNSC_B_89_1g" "NPC-like"
"V82" "1-PGE-C91" "146231" "107537" "aNSC_B_91_1g" "aNSC-mid"
"V83" "1-PGE-C92" "157384" "112761" "aNSC_B_92_1g" "aNSC-late"
"V84" "1-PGE-C93" "182844" "120755" "aNSC_B_93_1g" "aNSC-late"
"V1" "PGE-01-1g" "143194" "125717" "aNSC_C_01_1g" "aNSC-mid"
"V7" "PGE-07-1g" "216072" "197948" "aNSC_C_07_1g" "aNSC-early"
"V8" "PGE-08-1g" "169796" "145010" "aNSC_C_08_1g" "NPC-like"
"V15" "PGE-15-1g" "166537" "147716" "aNSC_C_15_1g" "aNSC-mid"
"V17" "PGE-17-1g" "165112" "149287" "aNSC_C_17_1g" "aNSC-late"
"V18" "PGE-18-1g" "229927" "202997" "aNSC_C_18_1g" "aNSC-mid"
"V22" "PGE-22-1g" "163444" "136769" "aNSC_C_22_1g" "NPC-like"
"V24" "PGE-24-1g" "143399" "125283" "aNSC_C_24_1g" "aNSC-early"
"V25" "PGE-25-1g" "191181" "170659" "aNSC_C_25_1g" "aNSC-mid"
"V27" "PGE-27-1g" "137688" "120495" "aNSC_C_27_1g" "aNSC-late"
"V34" "PGE-34-1g" "213796" "187476" "aNSC_C_34_1g" "aNSC-early"
"V35" "PGE-35-1g" "193141" "177751" "aNSC_C_35_1g" "aNSC-mid"
"V36" "PGE-36-1g" "191177" "161412" "aNSC_C_36_1g" "aNSC-mid"
"V39" "PGE-39-1g" "167808" "146379" "aNSC_C_39_1g" "aNSC-late"
"V42" "PGE-42-1g" "147076" "127977" "aNSC_C_42_1g" "aNSC-late"
"V48" "PGE-48-1g" "136124" "121870" "aNSC_C_48_1g" "NPC-like"
"V50" "PGE-50-1g" "134433" "115100" "aNSC_C_50_1g" "aNSC-late"
"V52" "PGE-52-1g" "171567" "149335" "aNSC_C_52_1g" "aNSC-mid"
"V57" "PGE-57-1g" "163730" "144790" "aNSC_C_57_1g" "NPC-like"
"V60" "PGE-60-1g" "202537" "177790" "aNSC_C_60_1g" "aNSC-mid"
"V63" "PGE-63-1g" "166480" "144786" "aNSC_C_63_1g" "aNSC-mid"
"V67" "PGE-67-1g" "159990" "147026" "aNSC_C_67_1g" "aNSC-mid"
"V68" "PGE-68-1g" "186425" "167884" "aNSC_C_68_1g" "aNSC-mid"
"V77" "PGE-77-1g" "241248" "205828" "aNSC_C_77_1g" "aNSC-late"
"V78" "PGE-78-1g" "128812" "112834" "aNSC_C_78_1g" "aNSC-early"
"V79" "PGE-79-1g" "175543" "158062" "aNSC_C_79_1g" "aNSC-mid"
"V80" "PGE-80-1g" "194628" "176172" "aNSC_C_80_1g" "aNSC-early"
"V81" "PGE-81-1g" "177285" "157276" "aNSC_C_81_1g" "aNSC-early"
"V84" "PGE-84-1g" "137916" "121989" "aNSC_C_84_1g" "aNSC-mid"
"V87" "PGE-87-1g" "151498" "135047" "aNSC_C_87_1g" "aNSC-mid"
"V90" "PGE-90-1g" "158162" "140483" "aNSC_C_90_1g" "aNSC-mid"
"V91" "PGE-91-1g" "135289" "116806" "aNSC_C_91_1g" "aNSC-mid"
"V92" "PGE-92-1g" "179435" "148598" "aNSC_C_92_1g" "aNSC-mid"
"V94" "PGE-94-1g" "242586" "210098" "aNSC_C_94_1g" "aNSC-early"
"V28" "PGE_02_1g" "303314" "255367" "aNSC_D_02_1g" "aNSC-late"
"V29" "PGE_03_1g" "251340" "220509" "aNSC_D_03_1g" "aNSC-mid"
"V30" "PGE_05_1g" "449080" "386089" "aNSC_D_05_1g" "aNSC-early"
"V31" "PGE_07_1g" "557522" "452645" "aNSC_D_07_1g" "aNSC-mid"
"V33" "PGE_09_1g" "603129" "488181" "aNSC_D_09_1g" "aNSC-late"
"V34" "PGE_10_1g" "681892" "588364" "aNSC_D_10_1g" "NPC-like"
"V35" "PGE_13_1g" "742891" "645351" "aNSC_D_13_1g" "aNSC-late"
"V36" "PGE_14_1g" "526999" "408381" "aNSC_D_14_1g" "aNSC-mid"
"V37" "PGE_15_1g" "694890" "572358" "aNSC_D_15_1g" "aNSC-early"
"V38" "PGE_16_1g" "566015" "454065" "aNSC_D_16_1g" "aNSC-mid"
"V39" "PGE_17_1g" "814732" "673121" "aNSC_D_17_1g" "aNSC-mid"
"V40" "PGE_19_1g" "391358" "349653" "aNSC_D_19_1g" "aNSC-early"
"V41" "PGE_24_1g" "384003" "338449" "aNSC_D_24_1g" "aNSC-mid"
"V43" "PGE_26_1g" "585409" "515456" "aNSC_D_26_1g" "aNSC-late"
"V44" "PGE_29_1g" "599523" "509872" "aNSC_D_29_1g" "aNSC-mid"
"V50" "PGE_35_1g" "648701" "570010" "aNSC_D_35_1g" "aNSC-late"
"V51" "PGE_36_1g" "409238" "349370" "aNSC_D_36_1g" "aNSC-early"
"V54" "PGE_41_1g" "515087" "417717" "aNSC_D_41_1g" "aNSC-early"
"V55" "PGE_42_1g" "266958" "235527" "aNSC_D_42_1g" "aNSC-early"
"V56" "PGE_43_1g" "387679" "319756" "aNSC_D_43_1g" "NPC-like"
"V57" "PGE_44_1g" "443685" "386017" "aNSC_D_44_1g" "aNSC-late"
"V60" "PGE_47_1g" "199973" "166892" "aNSC_D_47_1g" "aNSC-early"
"V63" "PGE_50_1g" "318562" "266772" "aNSC_D_50_1g" "aNSC-mid"
"V65" "PGE_52_1g" "373876" "315482" "aNSC_D_52_1g" "aNSC-mid"
"V66" "PGE_53_1g" "420530" "341602" "aNSC_D_53_1g" "aNSC-mid"
"V68" "PGE_55_1g" "591443" "524720" "aNSC_D_55_1g" "aNSC-early"
"V69" "PGE_57_1g" "613192" "516893" "aNSC_D_57_1g" "aNSC-mid"
"V70" "PGE_58_1g" "524275" "440067" "aNSC_D_58_1g" "aNSC-early"
"V71" "PGE_59_1g" "675801" "598368" "aNSC_D_59_1g" "aNSC-mid"
"V72" "PGE_60_1g" "1011241" "907591" "aNSC_D_60_1g" "aNSC-mid"
"V73" "PGE_61_1g" "611171" "517695" "aNSC_D_61_1g" "aNSC-mid"
"V74" "PGE_62_1g" "592250" "514395" "aNSC_D_62_1g" "aNSC-mid"
"V76" "PGE_64_1g" "701755" "575758" "aNSC_D_64_1g" "aNSC-late"
"V77" "PGE_65_1g" "904033" "730083" "aNSC_D_65_1g" "aNSC-late"
"V80" "PGE_71_1g" "506437" "444804" "aNSC_D_71_1g" "aNSC-mid"
"V82" "PGE_77_1g" "769567" "664524" "aNSC_D_77_1g" "aNSC-mid"
"V83" "PGE_79_1g" "699985" "618129" "aNSC_D_79_1g" "aNSC-late"
"V84" "PGE_80_1g" "715021" "644539" "aNSC_D_80_1g" "aNSC-early"
"V86" "PGE_82_1g" "908084" "829129" "aNSC_D_82_1g" "aNSC-early"
"V87" "PGE_84_1g" "696303" "640096" "aNSC_D_84_1g" "aNSC-early"
"V88" "PGE_85_1g" "548987" "463218" "aNSC_D_85_1g" "aNSC-late"
"V91" "PGE_88_1g" "444370" "378813" "aNSC_D_88_1g" "aNSC-early"
"V94" "PGE_92_1g" "623598" "565601" "aNSC_D_92_1g" "aNSC-mid"
"V17" "1-E-C03" "110099" "81494" "NPC_03_1g" "Oligodendrocyte - Like Cell"
"V19" "1-E-C06" "168909" "123503" "NPC_06_1g" "NPC-like"
"V20" "1-E-C07" "150465" "107574" "NPC_07_1g" "Oligodendrocyte - Like Cell"
"V21" "1-E-C10" "174281" "131295" "NPC_10_1g" "Oligodendrocyte - Like Cell"
"V23" "1-E-C12" "230097" "161496" "NPC_12_1g" "Oligodendrocyte - Like Cell"
"V25" "1-E-C14" "81833" "61751" "NPC_14_1g" "Oligodendrocyte - Like Cell"
"V26" "1-E-C15" "129820" "100949" "NPC_15_1g" "Oligodendrocyte - Like Cell"
"V27" "1-E-C16" "172510" "126688" "NPC_16_1g" "NPC-like"
"V28" "1-E-C17" "195515" "150988" "NPC_17_1g" "Oligodendrocyte - Like Cell"
"V29" "1-E-C18" "194142" "142122" "NPC_18_1g" "Oligodendrocyte - Like Cell"
"V30" "1-E-C19" "118162" "88379" "NPC_19_1g" "NPC-like"
"V31" "1-E-C21" "118149" "90277" "NPC_21_1g" "Oligodendrocyte - Like Cell"
"V33" "1-E-C25" "130725" "102717" "NPC_25_1g" "NPC-like"
"V34" "1-E-C26" "107065" "76808" "NPC_26_1g" "Oligodendrocyte - Like Cell"
"V35" "1-E-C29" "238587" "176468" "NPC_29_1g" "Oligodendrocyte - Like Cell"
"V36" "1-E-C30" "210336" "159746" "NPC_30_1g" "Oligodendrocyte - Like Cell"
"V37" "1-E-C31" "137963" "106688" "NPC_31_1g" "Oligodendrocyte - Like Cell"
"V39" "1-E-C34" "138030" "100337" "NPC_34_1g" "Oligodendrocyte - Like Cell"
"V40" "1-E-C35" "182777" "138307" "NPC_35_1g" "NPC-like"
"V41" "1-E-C36" "160261" "120299" "NPC_36_1g" "Oligodendrocyte - Like Cell"
"V42" "1-E-C37" "89687" "55079" "NPC_37_1g" "Oligodendrocyte - Like Cell"
"V43" "1-E-C38" "114599" "81773" "NPC_38_1g" "aNSC-mid"
"V44" "1-E-C39" "184356" "145741" "NPC_39_1g" "Oligodendrocyte - Like Cell"
"V45" "1-E-C40" "190568" "128502" "NPC_40_1g" "NPC-like"
"V46" "1-E-C41" "211991" "164178" "NPC_41_1g" "aNSC-early"
"V47" "1-E-C43" "130212" "103409" "NPC_43_1g" "aNSC-early"
"V48" "1-E-C44" "90231" "63556" "NPC_44_1g" "Oligodendrocyte - Like Cell"
"V49" "1-E-C45" "122821" "91022" "NPC_45_1g" "Oligodendrocyte - Like Cell"
"V50" "1-E-C46" "181030" "129785" "NPC_46_1g" "NPC-like"
"V51" "1-E-C47" "98969" "52327" "NPC_47_1g" "Oligodendrocyte - Like Cell"
"V52" "1-E-C48" "175401" "136837" "NPC_48_1g" "Oligodendrocyte - Like Cell"
"V53" "1-E-C49" "123047" "92869" "NPC_49_1g" "aNSC-late"
"V54" "1-E-C53" "180150" "141411" "NPC_53_1g" "Oligodendrocyte - Like Cell"
"V55" "1-E-C54" "200842" "151808" "NPC_54_1g" "Oligodendrocyte - Like Cell"
"V56" "1-E-C56" "208890" "154591" "NPC_56_1g" "Oligodendrocyte - Like Cell"
"V57" "1-E-C57" "173279" "127922" "NPC_57_1g" "aNSC-late"
"V58" "1-E-C59" "187866" "148280" "NPC_59_1g" "Oligodendrocyte - Like Cell"
"V59" "1-E-C60" "243020" "185803" "NPC_60_1g" "Oligodendrocyte - Like Cell"
"V60" "1-E-C62" "168747" "129469" "NPC_62_1g" "Oligodendrocyte - Like Cell"
"V62" "1-E-C65" "222808" "168499" "NPC_65_1g" "Oligodendrocyte - Like Cell"
"V63" "1-E-C68" "113753" "86207" "NPC_68_1g" "aNSC-early"
"V64" "1-E-C69" "120451" "88341" "NPC_69_1g" "NPC-like"
"V65" "1-E-C70" "144120" "100027" "NPC_70_1g" "NPC-like"
"V66" "1-E-C72" "187633" "135899" "NPC_72_1g" "NPC-like"
"V67" "1-E-C74" "149130" "112022" "NPC_74_1g" "Oligodendrocyte - Like Cell"
"V68" "1-E-C75" "123505" "91202" "NPC_75_1g" "NPC-like"
"V69" "1-E-C76" "252264" "188182" "NPC_76_1g" "NPC-like"
"V70" "1-E-C77" "246979" "189976" "NPC_77_1g" "Oligodendrocyte - Like Cell"
"V71" "1-E-C78" "154247" "109122" "NPC_78_1g" "NPC-like"
"V72" "1-E-C79" "135071" "100682" "NPC_79_1g" "NPC-like"
"V73" "1-E-C80" "157659" "113381" "NPC_80_1g" "Oligodendrocyte - Like Cell"
"V74" "1-E-C81" "181780" "137969" "NPC_81_1g" "Oligodendrocyte - Like Cell"
"V75" "1-E-C82" "229290" "156686" "NPC_82_1g" "NPC-like"
